"告示番号※2",施設名,医療機関コード,都道府県,病院類型,DPC算定病床数,DPC算定病床の入院基本料,"DPC算定病床割合※3","精神病床数※4",療養病床数,結核病床数,"病床総数※5"
427,医療法人社団愛友会　津田沼中央総合病院,0210518,千葉,平成20年度DPC参加病院,200,一般7対1,66.7%,0,0,0,300
428,国保直営総合病院君津中央病院,1010149,千葉,平成20年度DPC参加病院,591,一般7対1,89.4%,0,0,26,661
429,総合病院国保旭中央病院,1411073,千葉,平成20年度DPC参加病院,708,一般7対1,74.7%,132,0,0,948
430,学校法人慈恵大学　東京慈恵会医科大学附属　柏病院,2110914,千葉,平成20年度DPC参加病院,624,一般7対1,100.0%,0,0,0,624
431,医療法人財団明理会　新松戸中央総合病院,2410389,千葉,平成20年度DPC参加病院,283,一般10対1,100.0%,0,0,0,283
432,医療法人　財団明理会　行徳総合病院,2710713,千葉,平成20年度DPC参加病院,151,一般10対1,75.9%,0,0,0,199
433,東京歯科大学市川総合病院,2712404,千葉,平成20年度DPC参加病院,570,一般7対1,100.0%,0,0,0,570
434,社会保険船橋中央病院,2810018,千葉,平成20年度DPC参加病院,454,一般7対1,100.0%,0,0,0,454
435,医療法人沖縄徳洲会千葉徳洲会病院,2811503,千葉,平成20年度DPC参加病院,266,一般10対1,87.5%,0,0,0,304
436,日本赤十字社　成田赤十字病院,4310041,千葉,平成20年度DPC参加病院,669,一般7対1,93.1%,24,0,0,719
437,虎の門病院,0314732,東京,平成20年度DPC参加病院,882,一般7対1,99.1%,0,0,8,890
438,東京都済生会中央病院,0314757,東京,平成20年度DPC参加病院,527,一般7対1,98.5%,0,0,0,535
439,国際医療福祉大学三田病院,0370759,東京,平成20年度DPC参加病院,291,一般7対1,100.0%,0,0,0,291
440,東京厚生年金病院,0415059,東京,平成20年度DPC参加病院,425,一般7対1,81.7%,0,0,0,520
441,財団法人東京都保健医療公社大久保病院,0470971,東京,平成20年度DPC参加病院,288,一般7対1,94.7%,0,0,0,304
442,財団法人ライフ・エクステンション研究所　付属　永寿総合病院,0670604,東京,平成20年度DPC参加病院,338,一般7対1,84.5%,0,46,0,400
443,社会福祉法人賛育会　賛育会病院,0710772,東京,平成20年度DPC参加病院,221,一般10対1,91.0%,0,0,0,243
444,医療法人社団　順江会　江東病院,0814905,東京,平成20年度DPC参加病院,256,一般10対1,89.5%,0,0,0,286
445,医療法人社団藤﨑病院,0870857,東京,平成20年度DPC参加病院,119,一般10対1,100.0%,0,0,0,119
446,東京労災病院,1115427,東京,平成20年度DPC参加病院,384,一般10対1,96.0%,0,0,0,400
447,日本赤十字社東京都支部　大森赤十字病院,1115435,東京,平成20年度DPC参加病院,302,一般7対1,100.0%,0,0,0,302
448,社会保険蒲田総合病院,1115443,東京,平成20年度DPC参加病院,221,一般10対1,98.2%,0,0,0,225
449,医療法人社団　七仁会　田園調布中央病院,1115468,東京,平成20年度DPC参加病院,91,一般7対1,100.0%,0,0,0,91
450,財団法人日産厚生会　玉川病院,1215292,東京,平成20年度DPC参加病院,312,一般7対1,88.4%,0,0,0,353
451,伊藤病院,1312644,東京,平成20年度DPC参加病院,60,一般7対1,100.0%,0,0,0,60
452,立正佼成会附属佼成病院,1414937,東京,平成20年度DPC参加病院,301,一般7対1,82.9%,0,32,0,363
453,医療法人財団　健貢会　東京病院,1470079,東京,平成20年度DPC参加病院,67,一般10対1,32.7%,0,0,0,205
454,東京警察病院,1470061,東京,平成20年度DPC参加病院,337,一般7対1,93.9%,0,0,0,359
455,医療法人財団アドベンチスト会　東京衛生病院,1570936,東京,平成20年度DPC参加病院,162,一般7対1,87.1%,0,0,0,186
456,東京都立大塚病院,1614809,東京,平成20年度DPC参加病院,468,一般7対1,92.5%,0,0,0,506
457,医療法人財団　明理会　明理会中央総合病院,1770759,東京,平成20年度DPC参加病院,239,一般7対1,76.9%,0,0,0,311
458,順天堂大学医学部附属練馬病院,2070928,東京,平成20年度DPC参加病院,400,一般7対1,100.0%,0,0,0,400
459,東京慈恵会医科大学附属青戸病院,2212389,東京,平成20年度DPC参加病院,382,一般7対1,100.0%,0,0,0,382
460,医療法人社団　明芳会　新葛飾病院,2270023,東京,平成20年度DPC参加病院,126,一般7対1,100.0%,0,0,0,126
461,医療法人社団直和会平成立石病院,2271062,東京,平成20年度DPC参加病院,180,一般10対1,100.0%,0,0,0,180
462,東海大学八王子病院,2971083,東京,平成20年度DPC参加病院,500,一般7対1,100.0%,0,0,0,500
463,国家公務員共済組合連合会　立川病院,3015716,東京,平成20年度DPC参加病院,368,一般7対1,79.1%,57,0,0,465
464,立川相互病院,3070034,東京,平成20年度DPC参加病院,307,一般7対1,89.0%,0,0,0,345
465,医療法人社団正志会　南町田病院,3270816,東京,平成20年度DPC参加病院,180,一般10対1,100.0%,0,0,0,180
466,東京慈恵会医科大学附属第三病院,4514188,東京,平成20年度DPC参加病院,516,一般7対1,93.1%,20,0,0,554
467,独立行政法人国立病院機構東京医療センター,8615288,東京,平成20年度DPC参加病院,726,一般7対1,93.1%,50,0,0,780
468,聖隷横浜病院,0603639,神奈川,平成20年度DPC参加病院,292,一般7対1,97.3%,0,0,0,300
469,独立行政法人　労働者健康福祉機構　横浜労災病院,0904227,神奈川,平成20年度DPC参加病院,650,一般7対1,100.0%,0,0,0,650
470,医療法人柏堤会（財団）　戸塚共立第２病院,1000793,神奈川,平成20年度DPC参加病院,93,一般7対1,95.9%,0,0,0,97
471,医療法人　横浜博萌会　西横浜国際総合病院,1003458,神奈川,平成20年度DPC参加病院,147,一般10対1,78.2%,0,0,0,188
472,医療法人財団　明理会　東戸塚記念病院,1004670,神奈川,平成20年度DPC参加病院,272,一般10対1,93.2%,0,0,0,292
473,医療法人　沖縄徳洲会　葉山ハートセンター,1100478,神奈川,平成20年度DPC参加病院,65,一般7対1,100.0%,0,0,0,65
474,横須賀市立市民病院,1902212,神奈川,平成20年度DPC参加病院,254,一般10対1,97.0%,0,0,0,262
475,横須賀市立うわまち病院,1906213,神奈川,平成20年度DPC参加病院,269,一般7対1,72.9%,0,50,0,369
476,平塚市民病院,2001451,神奈川,平成20年度DPC参加病院,416,一般7対1,100.0%,0,0,0,416
477,藤沢市民病院,2202778,神奈川,平成20年度DPC参加病院,536,一般7対1,100.0%,0,0,0,536
478,小田原市立病院,2300812,神奈川,平成20年度DPC参加病院,417,一般7対1,100.0%,0,0,0,417
479,医療法人尽誠会　山近記念総合病院,2301125,神奈川,平成20年度DPC参加病院,152,一般7対1,100.0%,0,0,0,152
480,医療法人社団相和会　渕野辺総合病院,2600385,神奈川,平成20年度DPC参加病院,135,一般7対1,83.9%,0,0,0,161
481,社会医療法人三思会　東名厚木病院,2901148,神奈川,平成20年度DPC参加病院,180,一般7対1,95.2%,0,0,0,189
482,恩賜財団済生会横浜市南部病院,3103439,神奈川,平成20年度DPC参加病院,500,一般7対1,100.0%,0,0,0,500
483,医療法人社団　明芳会　横浜旭中央総合病院,3202520,神奈川,平成20年度DPC参加病院,340,一般7対1,66.0%,0,60,0,515
484,医療法人社団恵生会　上白根病院,3202736,神奈川,平成20年度DPC参加病院,132,一般10対1,89.8%,0,0,0,147
485,医療法人社団三喜会　横浜新緑総合病院,3304920,神奈川,平成20年度DPC参加病院,162,一般7対1,81.4%,0,0,0,199
486,国家公務員共済組合連合会　横浜栄共済病院,3500022,神奈川,平成20年度DPC参加病院,430,一般10対1,100.0%,0,0,0,430
487,医療法人社団明芳会　横浜新都市脳神経外科病院,3700903,神奈川,平成20年度DPC参加病院,193,一般10対1,58.1%,0,0,0,332
488,国家公務員共済組合連合会　虎の門病院分院,5300454,神奈川,平成20年度DPC参加病院,260,一般7対1,86.7%,0,0,0,300
489,横浜市立市民病院,9801119,神奈川,平成20年度DPC参加病院,638,一般7対1,100.0%,0,0,0,638
490,神奈川県立がんセンター,3204542,神奈川,平成20年度DPC参加病院,401,専門10対1,96.6%,0,0,0,415
491,長岡赤十字病院,0212721,新潟,平成20年度DPC参加病院,687,一般7対1,95.8%,0,0,30,717
492,新潟県厚生農業協同組合連合会　長岡中央綜合病院,0213489,新潟,平成20年度DPC参加病院,531,一般7対1,100.0%,0,0,0,531
493,富山市立富山市民病院,0113647,富山,平成20年度DPC参加病院,525,一般7対1,88.2%,50,0,0,595
494,富山赤十字病院,0115600,富山,平成20年度DPC参加病院,435,一般7対1,100.0%,0,0,0,435
495,富山県厚生農業協同組合連合会高岡病院,0210377,富山,平成20年度DPC参加病院,641,一般7対1,94.1%,0,0,0,681
496,富山県済生会高岡病院,0212605,富山,平成20年度DPC参加病院,270,一般7対1,100.0%,0,0,0,270
497,社団法人石川勤労者医療協会　城北病院,0111327,石川,平成20年度DPC参加病院,157,一般7対1,57.7%,0,48,0,272
498,伊藤病院,0118835,石川,平成20年度DPC参加病院,26,一般7対1,81.3%,0,0,0,32
499,公立能登総合病院,0210947,石川,平成20年度DPC参加病院,318,一般7対1,73.3%,100,0,0,434
500,医療法人社団勝木会　やわたメディカルセンター,0310929,石川,平成20年度DPC参加病院,146,一般7対1,58.6%,0,0,0,249
501,山中温泉医療センター,0611185,石川,平成20年度DPC参加病院,119,一般10対1,59.8%,0,40,0,199
502,公立羽咋病院,0710292,石川,平成20年度DPC参加病院,174,一般10対1,91.6%,0,0,0,190
503,公立松任石川中央病院,2210127,石川,平成20年度DPC参加病院,275,一般7対1,90.2%,30,0,0,305
504,医療法人社団　和楽仁　芳珠記念病院,2310190,石川,平成20年度DPC参加病院,140,一般7対1,53.9%,0,60,0,260
505,福井総合病院,0121390,福井,平成20年度DPC参加病院,253,一般7対1,80.3%,0,0,0,315
506,福井社会保険病院,0614246,福井,平成20年度DPC参加病院,181,一般7対1,91.0%,0,0,0,199
507,甲府共立病院,0111812,山梨,平成20年度DPC参加病院,283,一般7対1,100.0%,0,0,0,283
508,社会保険鰍沢病院,0711058,山梨,平成20年度DPC参加病院,158,一般10対1,100.0%,0,0,0,158
509,山梨赤十字病院,1310553,山梨,平成20年度DPC参加病院,224,一般10対1,88.2%,0,24,6,254
510,長野県厚生農業協同組合連合会　長野松代総合病院,0117246,長野,平成20年度DPC参加病院,315,一般10対1,90.8%,0,0,0,347
511,長野県厚生農業協同組合連合会篠ノ井総合病院,0117345,長野,平成20年度DPC参加病院,410,一般7対1,100.0%,0,0,0,410
512,長野県厚生農業協同組合連合会　小諸厚生総合病院,0817084,長野,平成20年度DPC参加病院,235,一般7対1,88.0%,0,0,0,267
513,長野県厚生農業協同組合連合会北信総合病院,1117047,長野,平成20年度DPC参加病院,370,一般7対1,70.2%,117,0,0,527
514,佐久市立国保浅間総合病院,1717341,長野,平成20年度DPC参加病院,234,一般7対1,82.7%,0,40,0,283
515,長野県厚生農業協同組合連合会下伊那厚生病院,2517559,長野,平成20年度DPC参加病院,46,一般7対1,75.4%,0,11,0,61
516,長野県厚生農業協同組合連合会　安曇総合病院,2917064,長野,平成20年度DPC参加病院,202,一般7対1,65.4%,90,0,0,309
517,岐阜市民病院,0107790,岐阜,平成20年度DPC参加病院,559,一般7対1,91.8%,50,0,0,609
518,羽島市民病院,0400039,岐阜,平成20年度DPC参加病院,223,一般7対1,78.8%,48,0,0,283
519,公立学校共済組合東海中央病院,0500721,岐阜,平成20年度DPC参加病院,253,一般7対1,100.0%,0,0,0,253
520,岐阜県厚生農業協同組合連合会　岐北厚生病院,0800188,岐阜,平成20年度DPC参加病院,239,一般7対1,75.6%,0,60,0,316
521,社会医療法人厚生会　木沢記念病院,1200156,岐阜,平成20年度DPC参加病院,360,一般7対1,79.7%,0,0,0,452
522,岐阜県厚生農業協同組合連合会東濃厚生病院,1600231,岐阜,平成20年度DPC参加病院,250,一般7対1,92.6%,0,0,0,270
523,大垣市民病院,2100827,岐阜,平成20年度DPC参加病院,848,一般10対1,95.5%,0,0,40,888
524,岐阜県厚生農業協同組合連合会　久美愛厚生病院,2700477,岐阜,平成20年度DPC参加病院,291,一般7対1,91.2%,0,0,8,319
525,国際医療福祉大学熱海病院,0510265,静岡,平成20年度DPC参加病院,269,一般10対1,100.0%,0,0,0,269
526,財団法人芙蓉協会　聖隷沼津病院,1110057,静岡,平成20年度DPC参加病院,306,一般7対1,100.0%,0,0,0,306
527,沼津市立病院,1160011,静岡,平成20年度DPC参加病院,450,一般10対1,100.0%,0,0,0,450
528,社会保険　桜ヶ丘総合病院,3260108,静岡,平成20年度DPC参加病院,199,一般10対1,100.0%,0,0,0,199
529,静岡済生会総合病院,4160042,静岡,平成20年度DPC参加病院,578,一般7対1,100.0%,0,0,0,578
530,静岡県立総合病院,4210771,静岡,平成20年度DPC参加病院,620,一般7対1,92.5%,0,0,50,670
531,医療法人社団平成会　藤枝平成記念病院,5310224,静岡,平成20年度DPC参加病院,113,一般7対1,56.8%,0,86,0,199
532,市立島田市民病院,5460078,静岡,平成20年度DPC参加病院,439,一般7対1,85.1%,0,35,8,516
533,独立行政法人国立病院機構静岡医療センター,9710015,静岡,平成20年度DPC参加病院,450,一般7対1,100.0%,0,0,0,450
534,愛知県がんセンター中央病院,0101536,愛知,平成20年度DPC参加病院,500,専門7対1,100.0%,0,0,0,500
535,社会福祉法人　聖霊会　聖霊病院,0700287,愛知,平成20年度DPC参加病院,227,一般7対1,79.7%,0,0,0,285
536,名古屋第二赤十字病院,0700337,愛知,平成20年度DPC参加病院,812,一般7対1,100.0%,0,0,0,812
537,名古屋掖済会病院,1000166,愛知,平成20年度DPC参加病院,598,一般10対1,96.9%,0,0,0,617
538,総合病院　南生協病院,1402578,愛知,平成20年度DPC参加病院,273,一般7対1,87.2%,0,0,0,313
539,成田記念病院,2000579,愛知,平成20年度DPC参加病院,316,一般10対1,100.0%,0,0,0,316
540,大雄会第一病院,2201342,愛知,平成20年度DPC参加病院,132,一般10対1,100.0%,0,0,0,132
541,一宮西病院,2203272,愛知,平成20年度DPC参加病院,267,一般7対1,85.6%,0,0,0,312
542,小牧市民病院,3800035,愛知,平成20年度DPC参加病院,544,一般10対1,100.0%,0,0,0,544
543,独立行政法人　労働者健康福祉機構　旭労災病院,4500030,愛知,平成20年度DPC参加病院,250,一般10対1,100.0%,0,0,0,250
544,地方独立行政法人　桑名市民病院　桑名市民病院分院,0105767,三重,平成20年度DPC参加病院,79,一般7対1,100.0%,0,0,0,79
545,市立四日市病院,0205047,三重,平成20年度DPC参加病院,568,一般7対1,100.0%,0,0,0,568
546,松阪市民病院,0705012,三重,平成20年度DPC参加病院,308,一般7対1,93.9%,0,0,0,328
547,社会福祉法人　恩賜財団　済生会松阪総合病院,0705053,三重,平成20年度DPC参加病院,430,一般7対1,100.0%,0,0,0,430
548,山田赤十字病院,0805507,三重,平成20年度DPC参加病院,631,一般7対1,100.0%,0,0,0,631
549,三重県立志摩病院,2905032,三重,平成20年度DPC参加病院,235,一般10対1,67.1%,50,0,0,350
550,社会保険滋賀病院,0100015,滋賀,平成20年度DPC参加病院,247,一般10対1,96.1%,0,0,10,257
551,市立長浜病院,0301373,滋賀,平成20年度DPC参加病院,469,一般7対1,90.0%,0,52,0,521
552,社会福祉法人　恩賜財団　済生会滋賀県病院,1200194,滋賀,平成20年度DPC参加病院,387,一般7対1,98.5%,0,0,0,393
553,医療法人社団洛和会　洛和会丸太町病院,0304384,京都,平成20年度DPC参加病院,129,一般7対1,75.9%,0,33,0,170
554,社団法人京都保健会　京都民医連中央病院,0305340,京都,平成20年度DPC参加病院,258,一般7対1,86.0%,0,0,0,300
555,医療法人社団　恵心会　京都武田病院,0405843,京都,平成20年度DPC参加病院,60,一般10対1,25.0%,0,0,0,240
556,東山武田病院,0804375,京都,平成20年度DPC参加病院,126,一般10対1,100.0%,0,0,0,126
557,医療法人医仁会武田総合病院,0903367,京都,平成20年度DPC参加病院,503,一般10対1,100.0%,0,0,0,503
558,宇治武田病院,1203262,京都,平成20年度DPC参加病院,173,一般10対1,97.7%,0,0,0,177
559,社団法人愛生会山科病院,4100242,京都,平成20年度DPC参加病院,264,一般7対1,86.6%,0,0,0,305
560,公立南丹病院,9600063,京都,平成20年度DPC参加病院,454,一般7対1,97.8%,0,0,10,464
561,国家公務員共済組合連合会　舞鶴共済病院,9700095,京都,平成20年度DPC参加病院,320,一般10対1,100.0%,0,0,0,320
562,社会福祉法人　恩賜財団　済生会京都府病院,9700129,京都,平成20年度DPC参加病院,300,一般7対1,100.0%,0,0,0,300
563,独立行政法人労働者健康福祉機構　大阪労災病院,0103462,大阪,平成20年度DPC参加病院,678,一般7対1,100.0%,0,0,0,678
564,医療法人　いずみ会　阪堺病院,0118403,大阪,平成20年度DPC参加病院,74,一般7対1,52.9%,0,0,0,140
565,関西電力病院,0201381,大阪,平成20年度DPC参加病院,400,一般7対1,100.0%,0,0,0,400
566,医療法人協仁会　小松病院,0302395,大阪,平成20年度DPC参加病院,96,一般7対1,45.7%,0,0,0,210
567,高槻赤十字病院,0900438,大阪,平成20年度DPC参加病院,347,一般7対1,89.7%,0,0,0,387
568,医療法人　祐生会　みどりヶ丘病院,0902582,大阪,平成20年度DPC参加病院,169,一般7対1,51.4%,0,0,0,329
569,医療法人　仙養会　北摂総合病院,0906641,大阪,平成20年度DPC参加病院,217,一般10対1,100.0%,0,0,0,217
570,医療法人大植会　葛城病院,1101952,大阪,平成20年度DPC参加病院,138,一般10対1,60.5%,0,0,0,228
571,医療法人徳洲会　岸和田徳洲会病院,1104048,大阪,平成20年度DPC参加病院,341,一般7対1,100.0%,0,0,0,341
572,市立吹田市民病院,1603270,大阪,平成20年度DPC参加病院,391,一般7対1,90.7%,0,0,0,431
573,大阪赤十字病院,1700753,大阪,平成20年度DPC参加病院,897,一般7対1,87.9%,42,0,0,1021
574,ＮＴＴ西日本大阪病院,1702155,大阪,平成20年度DPC参加病院,304,一般7対1,100.0%,0,0,0,304
575,医療法人　寿楽会　大野記念病院,1802070,大阪,平成20年度DPC参加病院,226,一般10対1,90.4%,0,0,0,250
576,医療法人錦秀会　阪和記念病院,2004221,大阪,平成20年度DPC参加病院,62,一般10対1,47.7%,0,0,0,130
577,医療法人錦秀会阪和住吉総合病院,2004619,大阪,平成20年度DPC参加病院,119,一般7対1,100.0%,0,0,0,119
578,医療法人育和会　育和会記念病院,2204516,大阪,平成20年度DPC参加病院,208,一般10対1,78.5%,0,43,0,265
579,社会福祉法人恩賜財団　大阪府済生会泉尾病院,2701586,大阪,平成20年度DPC参加病院,280,一般7対1,59.6%,0,60,0,470
580,関西医科大学附属滝井病院,3200703,大阪,平成20年度DPC参加病院,461,一般7対1,92.2%,39,0,0,500
581,医療法人永広会　島田病院,3800965,大阪,平成20年度DPC参加病院,33,一般10対1,76.7%,0,0,0,43
582,財団法人　大阪脳神経外科病院,4006497,大阪,平成20年度DPC参加病院,132,一般10対1,100.0%,0,0,0,132
583,社会医療法人　協和会　加納総合病院,4104854,大阪,平成20年度DPC参加病院,151,一般7対1,54.7%,0,29,0,276
584,松原徳洲会病院,4801913,大阪,平成20年度DPC参加病院,170,一般10対1,100.0%,0,0,0,170
585,医療法人竹村医学研究会　小阪産病院,5000713,大阪,平成20年度DPC参加病院,61,一般7対1,100.0%,0,0,0,61
586,社会医療法人　景岳会　南大阪病院,5902504,大阪,平成20年度DPC参加病院,388,一般10対1,83.8%,0,0,0,463
587,国家公務員共済組合連合会　枚方公済病院,9600054,大阪,平成20年度DPC参加病院,273,一般7対1,100.0%,0,0,0,273
588,社会福祉法人恩賜財団済生会大阪府済生会野江病院,9600120,大阪,平成20年度DPC参加病院,382,一般7対1,100.0%,0,0,0,382
589,市立泉佐野病院　※7,9801488,大阪,平成20年度DPC参加病院,358,一般7対1,100.0%,0,0,0,358
590,市立豊中病院,9801504,大阪,平成20年度DPC参加病院,608,一般7対1,100.0%,0,0,0,608
591,東大阪市立総合病院,9801546,大阪,平成20年度DPC参加病院,547,一般10対1,97.9%,0,0,0,559
592,八尾市立病院,9801686,大阪,平成20年度DPC参加病院,380,一般7対1,100.0%,0,0,0,380
593,六甲アイランド病院,0103867,兵庫,平成20年度DPC参加病院,233,一般7対1,100.0%,0,0,0,233
594,医療法人社団慈恵会　新須磨病院,0702700,兵庫,平成20年度DPC参加病院,154,一般7対1,100.0%,0,0,0,154
595,社会医療法人　渡邊高記念会　西宮渡辺病院,0906491,兵庫,平成20年度DPC参加病院,99,一般7対1,54.7%,0,0,0,181
596,宝塚市立病院,1101779,兵庫,平成20年度DPC参加病院,419,一般7対1,94.0%,0,0,0,446
597,兵庫県立淡路病院,1500012,兵庫,平成20年度DPC参加病院,381,一般7対1,84.3%,45,0,26,452
598,市立小野市民病院,1900212,兵庫,平成20年度DPC参加病院,220,一般10対1,100.0%,0,0,0,220
599,あさぎり病院,2003487,兵庫,平成20年度DPC参加病院,99,一般7対1,100.0%,0,0,0,99
600,大西脳神経外科病院,2006167,兵庫,平成20年度DPC参加病院,82,一般7対1,100.0%,0,0,0,82
601,地方独立行政法人　加古川市民病院機構　加古川東市民病院,2201826,兵庫,平成20年度DPC参加病院,198,一般7対1,100.0%,0,0,0,198
602,兵庫県立尼崎病院,3009020,兵庫,平成20年度DPC参加病院,492,一般7対1,98.4%,0,0,0,500
603,医療法人協和会　協立病院,3100969,兵庫,平成20年度DPC参加病院,313,一般10対1,100.0%,0,0,0,313
604,医療法人晋真会　ベリタス病院,3100993,兵庫,平成20年度DPC参加病院,187,一般7対1,94.0%,0,0,0,199
605,公立学校共済組合近畿中央病院,3300114,兵庫,平成20年度DPC参加病院,361,一般7対1,100.0%,0,0,0,361
606,公立豊岡病院組合立豊岡病院,4400939,兵庫,平成20年度DPC参加病院,435,一般10対1,87.0%,65,0,0,500
607,済生会　兵庫県病院,5001538,兵庫,平成20年度DPC参加病院,270,一般7対1,96.8%,0,0,0,279
608,独立行政法人　労働者健康福祉機構　神戸労災病院,5101163,兵庫,平成20年度DPC参加病院,344,一般10対1,95.6%,0,0,0,360
609,医療法人新生会　総合病院高の原中央病院,0101829,奈良,平成20年度DPC参加病院,195,一般7対1,78.3%,0,50,0,249
610,社会福祉法人恩賜財団済生会奈良病院,0102017,奈良,平成20年度DPC参加病院,205,一般10対1,100.0%,0,0,0,205
611,近畿大学医学部奈良病院,0301296,奈良,平成20年度DPC参加病院,467,一般7対1,100.0%,0,0,0,467
612,国保中央病院,0701057,奈良,平成20年度DPC参加病院,178,一般10対1,80.9%,0,0,0,220
613,医療法人平成記念病院,1201339,奈良,平成20年度DPC参加病院,172,一般10対1,57.3%,0,0,0,300
614,公立那賀病院,1710013,和歌山,平成20年度DPC参加病院,304,一般7対1,100.0%,0,0,0,304
615,国保日高総合病院,2010090,和歌山,平成20年度DPC参加病院,280,一般10対1,69.3%,100,0,0,404
616,鳥取県立中央病院,0111097,鳥取,平成20年度DPC参加病院,421,一般7対1,97.7%,0,0,10,431
617,鳥取市立病院,0112418,鳥取,平成20年度DPC参加病院,346,一般7対1,97.7%,0,0,0,354
618,松江赤十字病院,0110049,島根,平成20年度DPC参加病院,566,一般7対1,85.8%,60,0,0,660
619,独立行政法人国立病院機構　浜田医療センター,5010053,島根,平成20年度DPC参加病院,314,一般10対1,86.0%,0,0,0,365
620,総合病院岡山協立病院,0110626,岡山,平成20年度DPC参加病院,212,一般7対1,66.7%,0,0,0,318
621,総合病院　水島協同病院,0210749,岡山,平成20年度DPC参加病院,222,一般7対1,78.7%,0,0,0,282
622,財団法人津山慈風会　津山中央病院,0310531,岡山,平成20年度DPC参加病院,455,一般7対1,89.2%,0,0,15,510
623,医療法人社団清和会　笠岡第一病院,0510098,岡山,平成20年度DPC参加病院,144,一般10対1,97.3%,0,0,0,148
624,独立行政法人労働者健康福祉機構　岡山労災病院,8800038,岡山,平成20年度DPC参加病院,406,一般7対1,97.1%,0,0,0,418
625,中国電力株式会社　中電病院,0110013,広島,平成20年度DPC参加病院,207,一般7対1,83.5%,0,0,0,248
626,広島市立広島市民病院,0110070,広島,平成20年度DPC参加病院,715,一般7対1,96.2%,28,0,0,743
627,医療法人　あかね会　土谷総合病院,0110252,広島,平成20年度DPC参加病院,394,一般7対1,100.0%,0,0,0,394
628,広島赤十字・原爆病院,0110427,広島,平成20年度DPC参加病院,624,一般7対1,100.0%,0,0,0,624
629,翠清会梶川病院,0116168,広島,平成20年度DPC参加病院,90,一般10対1,62.9%,0,0,0,143
630,医療法人社団おると会浜脇整形外科病院,0214161,広島,平成20年度DPC参加病院,90,一般7対1,56.3%,0,0,0,160
631,広島市立安佐市民病院,0214492,広島,平成20年度DPC参加病院,527,一般7対1,100.0%,0,0,0,527
632,医療法人社団　一陽会　原田病院,0215192,広島,平成20年度DPC参加病院,116,一般7対1,96.7%,0,0,0,120
633,独立行政法人労働者健康福祉機構中国労災病院,0513638,広島,平成20年度DPC参加病院,398,一般7対1,97.1%,0,0,0,410
634,医療法人社団仁慈会　安田病院,0710408,広島,平成20年度DPC参加病院,105,一般10対1,68.6%,0,40,0,153
635,総合病院　三原赤十字病院,0910214,広島,平成20年度DPC参加病院,206,一般7対1,91.2%,0,0,0,226
636,広島県厚生農業協同組合連合会　尾道総合病院,1110103,広島,平成20年度DPC参加病院,442,一般7対1,100.0%,0,0,0,442
637,尾道市立市民病院,1110111,広島,平成20年度DPC参加病院,330,一般7対1,100.0%,0,0,0,330
638,福山市民病院,1511276,広島,平成20年度DPC参加病院,384,一般7対1,96.0%,0,0,0,400
639,社会保険下関厚生病院,0111242,山口,平成20年度DPC参加病院,285,一般7対1,100.0%,0,0,0,285
640,綜合病院山口赤十字病院,0310398,山口,平成20年度DPC参加病院,415,一般7対1,87.4%,0,0,0,475
641,岩国市医療センター医師会病院,0812013,山口,平成20年度DPC参加病院,151,一般7対1,75.1%,0,0,0,201
642,独立行政法人　労働者健康福祉機構　山口労災病院,0910247,山口,平成20年度DPC参加病院,301,一般7対1,96.2%,0,0,0,313
643,徳島市民病院,0124921,徳島,平成20年度DPC参加病院,295,一般7対1,88.1%,0,0,0,335
644,総合病院坂出市立病院,7010130,香川,平成20年度DPC参加病院,210,一般10対1,97.2%,0,0,0,216
645,国家公務員共済組合連合会　高松病院,7010304,香川,平成20年度DPC参加病院,179,一般7対1,100.0%,0,0,0,179
646,独立行政法人　国立病院機構　香川小児病院,8010022,香川,平成20年度DPC参加病院,245,一般7対1,53.9%,0,0,0,455
647,独立行政法人国立病院機構善通寺病院,8010048,香川,平成20年度DPC参加病院,241,一般7対1,96.0%,0,0,0,251
648,社会福祉法人　恩賜財団　済生会松山病院,0110282,愛媛,平成20年度DPC参加病院,170,一般7対1,100.0%,0,0,0,170
649,松山赤十字病院,0118111,愛媛,平成20年度DPC参加病院,711,一般7対1,95.4%,0,0,0,745
650,JA高知病院,0410913,高知,平成20年度DPC参加病院,161,一般7対1,90.5%,0,0,0,178
651,福岡和白病院,0210310,福岡,平成20年度DPC参加病院,317,一般7対1,100.0%,0,0,0,317
652,千鳥橋病院,0319269,福岡,平成20年度DPC参加病院,237,一般7対1,70.5%,0,0,0,336
653,宗像医師会病院,0619072,福岡,平成20年度DPC参加病院,146,一般7対1,100.0%,0,0,0,146
654,西福岡病院,1119056,福岡,平成20年度DPC参加病院,76,一般7対1,30.7%,0,25,58,248
655,福岡市立こども病院・感染症センター,1018191,福岡,平成20年度DPC参加病院,214,一般7対1,100.0%,0,0,0,214
656,医療法人白十字会　白十字病院,1119817,福岡,平成20年度DPC参加病院,219,一般7対1,47.0%,0,115,0,466
657,福岡赤十字病院,1219187,福岡,平成20年度DPC参加病院,509,一般7対1,100.0%,0,0,0,509
658,医療法人徳洲会　福岡徳洲会病院,1619105,福岡,平成20年度DPC参加病院,600,一般7対1,100.0%,0,0,0,600
659,福岡県済生会二日市病院,1719020,福岡,平成20年度DPC参加病院,260,一般7対1,100.0%,0,0,0,260
